"Date","OS","value"
2016-01-01,"Android",124
2016-01-02,"Android",136
2016-01-03,"Android",155
2016-01-04,"Android",96
2016-01-05,"Android",59
2016-01-06,"Android",53
2016-01-07,"Android",75
2016-01-08,"Android",125
2016-01-09,"Android",72
2016-01-10,"Android",89
2016-01-11,"Android",69
2016-01-12,"Android",66
2016-01-13,"Android",87
2016-01-14,"Android",107
2016-01-15,"Android",175
2016-01-16,"Android",99
2016-01-17,"Android",105
2016-01-18,"Android",65
2016-01-19,"Android",76
2016-01-20,"Android",113
2016-01-21,"Android",122
2016-01-22,"Android",144
2016-01-23,"Android",133
2016-01-24,"Android",120
2016-01-25,"Android",72
2016-01-26,"Android",73
2016-01-27,"Android",117
2016-01-28,"Android",148
2016-01-29,"Android",161
2016-01-30,"Android",143
2016-01-31,"Android",150
2016-02-01,"Android",152
2016-02-02,"Android",168
2016-02-03,"Android",180
2016-02-04,"Android",187
2016-02-05,"Android",242
2016-02-06,"Android",179
2016-02-07,"Android",112
2016-02-08,"Android",166
2016-02-09,"Android",258
2016-02-10,"Android",204
2016-02-11,"Android",204
2016-02-12,"Android",199
2016-02-13,"Android",183
2016-02-14,"Android",165
2016-02-15,"Android",150
2016-02-16,"Android",279
2016-02-17,"Android",236
2016-02-18,"Android",273
2016-02-19,"Android",343
2016-02-20,"Android",276
2016-02-21,"Android",279
2016-02-22,"Android",179
2016-02-23,"Android",142
2016-02-24,"Android",156
2016-02-25,"Android",302
2016-02-26,"Android",498
2016-02-27,"Android",304
2016-02-28,"Android",342
2016-02-29,"Android",341
2016-03-01,"Android",166
2016-03-02,"Android",161
2016-03-03,"Android",205
2016-03-04,"Android",309
2016-03-05,"Android",250
2016-03-06,"Android",228
2016-03-07,"Android",155
2016-03-08,"Android",141
2016-03-09,"Android",135
2016-03-10,"Android",171
2016-03-11,"Android",339
2016-03-12,"Android",257
2016-03-13,"Android",208
2016-03-14,"Android",111
2016-03-15,"Android",140
2016-03-16,"Android",140
2016-03-17,"Android",240
2016-03-18,"Android",399
2016-03-19,"Android",253
2016-03-20,"Android",274
2016-03-21,"Android",162
2016-03-22,"Android",158
2016-03-23,"Android",165
2016-03-24,"Android",209
2016-03-25,"Android",426
2016-03-26,"Android",267
2016-03-27,"Android",332
2016-03-28,"Android",189
2016-03-29,"Android",178
2016-03-30,"Android",294
2016-03-31,"Android",549
2016-04-01,"Android",778
2016-04-02,"Android",453
2016-04-03,"Android",423
2016-04-04,"Android",560
2016-04-05,"Android",467
2016-04-06,"Android",242
2016-04-07,"Android",240
2016-04-08,"Android",384
2016-04-09,"Android",263
2016-04-10,"Android",277
2016-04-11,"Android",130
2016-04-12,"Android",130
2016-04-13,"Android",139
2016-04-14,"Android",199
2016-04-15,"Android",336
2016-04-16,"Android",249
2016-04-17,"Android",241
2016-04-18,"Android",142
2016-04-19,"Android",161
2016-04-20,"Android",170
2016-04-21,"Android",257
2016-04-22,"Android",444
2016-04-23,"Android",280
2016-04-24,"Android",315
2016-04-25,"Android",164
2016-04-26,"Android",172
2016-04-27,"Android",134
2016-04-28,"Android",240
2016-04-29,"Android",510
2016-04-30,"Android",277
2016-05-01,"Android",339
2016-05-02,"Android",211
2016-05-03,"Android",140
2016-05-04,"Android",169
2016-05-05,"Android",287
2016-05-06,"Android",467
2016-05-07,"Android",324
2016-05-08,"Android",379
2016-05-09,"Android",163
2016-05-10,"Android",153
2016-05-11,"Android",199
2016-05-12,"Android",349
2016-05-13,"Android",702
2016-05-14,"Android",395
2016-05-15,"Android",476
2016-05-16,"Android",260
2016-05-17,"Android",236
2016-05-18,"Android",207
2016-05-19,"Android",324
2016-05-20,"Android",668
2016-05-21,"Android",380
2016-05-22,"Android",458
2016-05-23,"Android",221
2016-05-24,"Android",181
2016-05-25,"Android",203
2016-05-26,"Android",269
2016-05-27,"Android",567
2016-05-28,"Android",378
2016-05-29,"Android",371
2016-05-30,"Android",203
2016-05-31,"Android",187
2016-06-01,"Android",198
2016-06-02,"Android",225
2016-06-03,"Android",374
2016-06-04,"Android",335
2016-06-05,"Android",267
2016-06-06,"Android",238
2016-06-07,"Android",337
2016-06-08,"Android",871
2016-06-09,"Android",482
2016-06-10,"Android",464
2016-06-11,"Android",551
2016-06-12,"Android",466
2016-06-13,"Android",238
2016-06-14,"Android",230
2016-06-15,"Android",256
2016-06-16,"Android",278
2016-06-17,"Android",486
2016-06-18,"Android",368
